POPULATION,AREA,OCCUPANCY,CAPACITY,Min_Temp_C,Max_Temp_C,Unemployment_Rate
7790,1.4,1341,1466,-1.2,1.0,5.0
34635,3.7,124,124,-1.2,1.0,5.0
29180,2.8,69,76,-1.2,1.0,5.0
27870,7.4,318,362,-1.2,1.0,5.0
34650,14.9,23,28,-1.2,1.0,5.0
26550,9.6,402,460,-1.2,1.0,5.0
21000,3.1,177,177,-1.2,1.0,5.0
16310,1.4,110,90,-1.2,1.0,5.0
16615,3.1,88,89,-1.2,1.0,5.0
16310,1.4,506,513,-1.2,1.0,5.0
43365,7.6,34,42,-1.2,1.0,5.0
18500,1.5,179,181,-1.2,1.0,5.0
21075,2.2,56,56,-1.2,1.0,5.0
28345,1.4,120,124,-1.2,1.0,5.0
20840,2.6,97,97,-1.2,1.0,5.0
16310,1.4,51,51,-1.2,1.0,5.0
43365,7.6,49,50,-1.2,1.0,5.0
17955,7.3,40,40,-1.2,1.0,5.0
15005,2.9,33,33,-1.2,1.0,5.0
17825,0.4,14,16,-1.2,1.0,5.0
28345,1.4,61,63,-1.2,1.0,5.0
28345,1.4,44,44,-1.2,1.0,5.0
14685,5.9,69,70,-1.2,1.0,5.0
10010,0.6,97,100,-1.2,1.0,5.0
17050,3.6,86,90,-1.2,1.0,5.0
34365,3.7,30,30,-1.2,1.0,5.0
17050,3.6,362,377,-1.2,1.0,5.0
21000,3.1,85,88,-1.2,1.0,5.0
9855,1.5,45,45,-1.2,1.0,5.0
11565,1.7,40,40,-1.2,1.0,5.0
13985,1.7,87,91,-1.2,1.0,5.0
13735,1.4,12,12,-1.2,1.0,5.0
25640,9.6,22,22,-1.2,1.0,5.0
26550,6.9,39,40,-1.2,1.0,5.0
28345,1.4,44,44,-1.2,1.0,5.0
16425,4.1,30,30,-1.2,1.0,5.0
17825,0.4,66,66,-1.2,1.0,5.0
16310,1.4,50,50,-1.2,1.0,5.0
16310,1.4,423,470,-1.2,1.0,5.0
14015,2.6,103,103,-1.2,1.0,5.0
21000,3.1,64,64,-1.2,1.0,5.0
16310,1.4,120,120,-1.2,1.0,5.0
16310,1.4,360,363,-1.2,1.0,5.0
14075,1.7,60,60,-1.2,1.0,5.0
10140,3.4,45,45,-1.2,1.0,5.0
7790,1.4,72,72,-1.2,1.0,5.0
29180,2.8,22,27,-1.2,1.0,5.0
28345,1.4,34,35,-1.2,1.0,5.0
25640,9.6,109,106,-1.2,1.0,5.0
18500,1.5,40,40,-1.2,1.0,5.0
29180,2.8,22,25,-1.2,1.0,5.0
20635,4.6,62,62,-1.2,1.0,5.0
29180,2.8,50,50,-1.2,1.0,5.0
32790,4.6,53,53,-1.2,1.0,5.0
24775,7.4,50,51,-1.2,1.0,5.0
7790,1.4,1333,1466,0.9,6.2,5.0
34635,3.7,121,124,0.9,6.2,5.0
29180,2.8,69,76,0.9,6.2,5.0
27870,7.4,318,362,0.9,6.2,5.0
34650,14.9,23,28,0.9,6.2,5.0
26550,9.6,409,460,0.9,6.2,5.0
21000,3.1,176,177,0.9,6.2,5.0
16310,1.4,110,90,0.9,6.2,5.0
16615,3.1,88,89,0.9,6.2,5.0
16310,1.4,506,513,0.9,6.2,5.0
43365,7.6,33,42,0.9,6.2,5.0
18500,1.5,179,181,0.9,6.2,5.0
21075,2.2,56,56,0.9,6.2,5.0
28345,1.4,121,124,0.9,6.2,5.0
20840,2.6,97,97,0.9,6.2,5.0
16310,1.4,51,51,0.9,6.2,5.0
43365,7.6,50,50,0.9,6.2,5.0
17955,7.3,40,40,0.9,6.2,5.0
15005,2.9,32,33,0.9,6.2,5.0
17825,0.4,14,16,0.9,6.2,5.0
28345,1.4,61,63,0.9,6.2,5.0
28345,1.4,44,44,0.9,6.2,5.0
14685,5.9,70,70,0.9,6.2,5.0
10010,0.6,100,100,0.9,6.2,5.0
17050,3.6,84,90,0.9,6.2,5.0
34365,3.7,30,30,0.9,6.2,5.0
17050,3.6,360,377,0.9,6.2,5.0
21000,3.1,85,88,0.9,6.2,5.0
9855,1.5,45,45,0.9,6.2,5.0
11565,1.7,40,40,0.9,6.2,5.0
13985,1.7,86,91,0.9,6.2,5.0
13735,1.4,12,12,0.9,6.2,5.0
25640,9.6,22,22,0.9,6.2,5.0
26550,6.9,39,40,0.9,6.2,5.0
28345,1.4,42,44,0.9,6.2,5.0
16425,4.1,30,30,0.9,6.2,5.0
17825,0.4,66,66,0.9,6.2,5.0
16310,1.4,50,50,0.9,6.2,5.0
16310,1.4,414,470,0.9,6.2,5.0
14015,2.6,102,103,0.9,6.2,5.0
21000,3.1,64,64,0.9,6.2,5.0
16310,1.4,120,120,0.9,6.2,5.0
16310,1.4,356,363,0.9,6.2,5.0
14075,1.7,60,60,0.9,6.2,5.0
10140,3.4,45,45,0.9,6.2,5.0
7790,1.4,72,72,0.9,6.2,5.0
29180,2.8,22,27,0.9,6.2,5.0
28345,1.4,34,35,0.9,6.2,5.0
25640,9.6,109,106,0.9,6.2,5.0
18500,1.5,38,40,0.9,6.2,5.0
29180,2.8,22,25,0.9,6.2,5.0
20635,4.6,62,62,0.9,6.2,5.0
29180,2.8,49,50,0.9,6.2,5.0
32790,4.6,53,53,0.9,6.2,5.0
24775,7.4,50,51,0.9,6.2,5.0
7790,1.4,1315,1466,3.6,7.7,5.0
34635,3.7,123,124,3.6,7.7,5.0
29180,2.8,69,76,3.6,7.7,5.0
27870,7.4,318,362,3.6,7.7,5.0
34650,14.9,23,28,3.6,7.7,5.0
26550,9.6,414,460,3.6,7.7,5.0
21000,3.1,173,177,3.6,7.7,5.0
16310,1.4,110,90,3.6,7.7,5.0
16615,3.1,88,89,3.6,7.7,5.0
16310,1.4,497,512,3.6,7.7,5.0
43365,7.6,34,42,3.6,7.7,5.0
18500,1.5,178,181,3.6,7.7,5.0
21075,2.2,56,56,3.6,7.7,5.0
28345,1.4,121,124,3.6,7.7,5.0
20840,2.6,97,97,3.6,7.7,5.0
16310,1.4,51,51,3.6,7.7,5.0
43365,7.6,50,50,3.6,7.7,5.0
17955,7.3,40,40,3.6,7.7,5.0
15005,2.9,32,33,3.6,7.7,5.0
17825,0.4,14,16,3.6,7.7,5.0
28345,1.4,61,63,3.6,7.7,5.0
28345,1.4,44,45,3.6,7.7,5.0
14685,5.9,69,70,3.6,7.7,5.0
10010,0.6,100,100,3.6,7.7,5.0
17050,3.6,88,90,3.6,7.7,5.0
34365,3.7,30,30,3.6,7.7,5.0
17050,3.6,359,377,3.6,7.7,5.0
21000,3.1,85,88,3.6,7.7,5.0
9855,1.5,45,45,3.6,7.7,5.0
11565,1.7,39,40,3.6,7.7,5.0
13985,1.7,87,91,3.6,7.7,5.0
13735,1.4,12,12,3.6,7.7,5.0
25640,9.6,22,22,3.6,7.7,5.0
26550,6.9,38,40,3.6,7.7,5.0
28345,1.4,43,44,3.6,7.7,5.0
16425,4.1,30,30,3.6,7.7,5.0
17825,0.4,66,66,3.6,7.7,5.0
16310,1.4,48,50,3.6,7.7,5.0
16310,1.4,411,470,3.6,7.7,5.0
14015,2.6,102,103,3.6,7.7,5.0
21000,3.1,60,64,3.6,7.7,5.0
16310,1.4,120,120,3.6,7.7,5.0
16310,1.4,360,363,3.6,7.7,5.0
14075,1.7,60,60,3.6,7.7,5.0
10140,3.4,45,45,3.6,7.7,5.0
7790,1.4,72,72,3.6,7.7,5.0
29180,2.8,22,27,3.6,7.7,5.0
28345,1.4,35,35,3.6,7.7,5.0
25640,9.6,109,106,3.6,7.7,5.0
18500,1.5,40,40,3.6,7.7,5.0
29180,2.8,22,25,3.6,7.7,5.0
20635,4.6,62,62,3.6,7.7,5.0
29180,2.8,50,50,3.6,7.7,5.0
32790,4.6,52,53,3.6,7.7,5.0
24775,7.4,50,51,3.6,7.7,5.0
7790,1.4,1312,1466,0.3,3.6,5.0
34635,3.7,124,124,0.3,3.6,5.0
29180,2.8,69,76,0.3,3.6,5.0
27870,7.4,316,362,0.3,3.6,5.0
