POPULATION,AREA,CAPACITY,Min_Temp_C,Max_Temp_C,Unemployment_Rate,OCCUPANCY_Rate
7790,1.4,1466,-1.2,1.0,5.0,0.9147339699863575
34635,3.7,124,-1.2,1.0,5.0,1.0
29180,2.8,76,-1.2,1.0,5.0,0.9078947368421053
27870,7.4,362,-1.2,1.0,5.0,0.8784530386740331
34650,14.9,28,-1.2,1.0,5.0,0.8214285714285714
26550,9.6,460,-1.2,1.0,5.0,0.8739130434782608
21000,3.1,177,-1.2,1.0,5.0,1.0
16310,1.4,90,-1.2,1.0,5.0,1.2222222222222223
16615,3.1,89,-1.2,1.0,5.0,0.9887640449438202
16310,1.4,513,-1.2,1.0,5.0,0.98635477582846
43365,7.6,42,-1.2,1.0,5.0,0.8095238095238095
18500,1.5,181,-1.2,1.0,5.0,0.988950276243094
21075,2.2,56,-1.2,1.0,5.0,1.0
28345,1.4,124,-1.2,1.0,5.0,0.967741935483871
20840,2.6,97,-1.2,1.0,5.0,1.0
16310,1.4,51,-1.2,1.0,5.0,1.0
43365,7.6,50,-1.2,1.0,5.0,0.98
17955,7.3,40,-1.2,1.0,5.0,1.0
15005,2.9,33,-1.2,1.0,5.0,1.0
17825,0.4,16,-1.2,1.0,5.0,0.875
28345,1.4,63,-1.2,1.0,5.0,0.9682539682539683
28345,1.4,44,-1.2,1.0,5.0,1.0
14685,5.9,70,-1.2,1.0,5.0,0.9857142857142858
10010,0.6,100,-1.2,1.0,5.0,0.97
17050,3.6,90,-1.2,1.0,5.0,0.9555555555555556
34365,3.7,30,-1.2,1.0,5.0,1.0
17050,3.6,377,-1.2,1.0,5.0,0.9602122015915119
21000,3.1,88,-1.2,1.0,5.0,0.9659090909090909
9855,1.5,45,-1.2,1.0,5.0,1.0
11565,1.7,40,-1.2,1.0,5.0,1.0
13985,1.7,91,-1.2,1.0,5.0,0.9560439560439561
13735,1.4,12,-1.2,1.0,5.0,1.0
25640,9.6,22,-1.2,1.0,5.0,1.0
26550,6.9,40,-1.2,1.0,5.0,0.975
28345,1.4,44,-1.2,1.0,5.0,1.0
16425,4.1,30,-1.2,1.0,5.0,1.0
17825,0.4,66,-1.2,1.0,5.0,1.0
16310,1.4,50,-1.2,1.0,5.0,1.0
16310,1.4,470,-1.2,1.0,5.0,0.9
14015,2.6,103,-1.2,1.0,5.0,1.0
21000,3.1,64,-1.2,1.0,5.0,1.0
16310,1.4,120,-1.2,1.0,5.0,1.0
16310,1.4,363,-1.2,1.0,5.0,0.9917355371900827
